num,name,smiles
127,ChemBL,C[C@](CC1)([C@@H](CC2)[C@H](CC3)[C@H]1[C@@](C)(Cc1c4)[C@@H]3Cc1nn4S(C)(=O)=O)[C@@]2(C#C)O
128,ChemBL,CC(CCC(CCC1CCCC1)=O)([C@H](C1)N(C)CC2)[C@@]2(C)c2c1ccc(O)c2
129,ChemBL,C(C(C1CCCCC1)C1CCCCC1)C1NCCCC1
130,ChemBL,CC[N+](C)(CC)CCOCCOC(C(c1ccccc1)[N+]1(C)CCCCC1)=O
131,ChemBL,CCNNC([C@H]([C@@H](CO)[C@@H]1O)[C@@H](c(cc2OC)cc(OC)c2OC)c2c1cc1OCOc1c2)=O
132,ChemBL,CC(C)C[C@@H](C(N[C@@H](C(C)(C)C)C(NC)=O)=O)NC([C@H](CCN(C(C(C)(C)N1C)=O)C1=O)S)=O
133,ChemBL,CCCCS(N[C@@H](Cc(cc1)ccc1OCCCCC1CCNCC1)C(O)=O)(=O)=O
134,ChemBL,CCC[C@@H](C(Nc1cn(C(C)(C)CNCC(C)(C)C)cn1)=O)N[C@@H](CCc1cc(F)c2)Cc1c2F
135,ChemBL,CCOCCCCCCN(C[C@H]([C@@H]1O)O)[C@@H](C)[C@H]1O
136,ChemBL,C[C@H]([C@@H]([C@@H](C)C(C(C)(C)[C@H](C1)O)=O)O)/C=C\C/C(/C)=C\C[C@@H](/C(/C)=C/c2noc(C)c2)OC1=O
137,ChemBL,CC(C)/C=C/CCCCC(NCc(cc1)cc(OC)c1OC(N1C(CNC)CCCC1)=O)=O
138,ChemBL,CCC[C@@H](C(OCC)=O)N[C@@H](C)C(N([C@@H](C1)C(O)=O)[C@@H]2[C@H]1CCCC2)=O
139,ChemBL,C[C@H]([C@@H]([C@@H](C)C(C(C)(C)[C@H](C1)O)=O)O)/C=C/C/C(/C)=C\C[C@@H](/C(/C)=C/c2csc(C)n2)OC1=O
140,ChemBL,O[C@@H](C[C@@H]([C@@H]1CC/C=C\CCC(O)=O)OCc(cc2)ccc2-c2ccccc2)[C@@H]1N1CCCCC1
141,ChemBL,C[C@H](CC1)CC[C@@H]1C(N([C@H](CC1)CC[C@@H]1O)c1c(C(O)=O)sc(C#CC(C)(C)C)c1)=O
142,ChemBL,CC1CCN(C[C@@H](CCCC2)[C@@H]2NC(c(c(OCC2CC2)c2)cc(Cl)c2N)=O)CC1
143,ChemBL,CCCCCCCCN(CC1)c2c1c(C)c(CC(O)=O)c(C)c2NC(C(C)(C)C)=O
144,ChemBL,CC(C)(C)NC([C@@H](CC1)[C@@](C)(CC2)[C@@H]1[C@H](CC[C@H]1N3)[C@H]2[C@@]1(C)C=CC3=O)=O
145,ChemBL,C[C@](CC1)([C@@](C)(CC2)[C@@H]1[C@H](CC1)[C@H]2[C@]2(C)[C@@H]1Cc1n[nH]cc1C2)O
146,ChemBL,COc(cccc1)c1N1CCN(CC(COc(cc2OC)cc(OC)c2OC)O)CC1
147,ChemBL,COc(cccc1)c1N1CCN(CC(COC2(CCCCC2)C#C)O)CC1
148,ChemBL,COc(ccc(CCO[C@@H](CCCC1)[C@H]1N(CC1)C[C@H]1O)c1)c1OC
149,ChemBL,CC(C)(C1(CCN(CCc(cccc2)c2Cl)CC1)O)C(N(C)C1CCCCC1)=O
150,ChemBL,C[C@](CC1)([C@@](C)(CC2)[C@@H]1[C@H](CC1)[C@H]2[C@]2(C)[C@@H]1Cc1nonc1C2)O
151,ChemBL,C[C@](CC1)([C@@](C)(CC2)[C@@H]1[C@H]1[C@H]2[C@@](C)(Cc2c(C3(C)C)onc2)C3=CC1)O
152,ChemBL,CCCC(CCC)CCCC1N(CCO)CCOC1
153,ChemBL,CN(CCCN(CCc(cc1OC)c(C2)cc1OC)C2=O)C[C@@H](C1)c(cc2OC)c1cc2OC
154,ChemBL,CCC(C(OC(CN1CCN(C)CC1)COCC(C)C)=O)c1ccccc1
155,ChemBL,CCCCCCCCCCCCCCCCOC(O1)=Nc(ccc(C)c2)c2C1=O
156,ChemBL,C[C@@H]([C@H]([C@H](C1)N)O)O[C@H]1O[C@@H](C[C@@](C1)(C(C)=O)O)c(c(O)c2C(c3c4cccc3)=O)c1c(O)c2C4=O
157,ChemBL,NCCCC[C@@H](C(N(CCC1)[C@@H]1C(O)=O)=O)OP(CCCCc1ccccc1)(O)=O
158,ChemBL,ONC(CCc1ncc(CN[C@@H](C2CCCCC2)C(OC2CCCC2)=O)cc1)=O
159,ChemBL,CCCCCCC(CC1)C(CCCCCCC(O)=O)C1(C(N1)=O)NC1=O
160,ChemBL,CC(Nc1cccc(N2CCN(CCCCNS(CC3CCCCC3)(=O)=O)CC2)c1)=O
